Formula,Exact mass
C2H4N4O2,116.03342538577999
C4H8N2S,116.0408194411
C7H5BO,116.04334514072
C5H8O3,116.04734411655001
C4H8N2O2,116.05857750584
C9H8,116.06260025784
C6H12S,116.06597156116
C3H8N4O,116.06981089513
C5H10NO2,116.07115356586999
C2H8N6,116.08104428442
C6H12O2,116.08372962589999
C5H12N2O,116.09496301518999
C4H12N4,116.10619640448
C7H16O,116.12011513525
C6H16N2,116.13134852454
CCl3,116.90655804599999
C3H3NS2,116.97069144992001
H4ClNO4,116.98288529362999
C3H3NO2S,116.98844951466
C4H4ClNO,116.99814143491999
C3H3NO4,117.00620757940001
C3H4ClN3,117.00937482420998
C4H7NOS,117.02483502400999
C5H8ClN,117.03452694427
C3H7N3S,117.0360684133
C4H7NO3,117.04259308875
C3H7N3O2,117.05382647804001
C8H7N,117.05784923004
C5H11NS,117.06122053336
C9H9,117.07042529007
C5H11NO2,117.0789785981
C4H11N3O,117.09021198738999
C6H12FN,117.09537755392
C6H15NO,117.11536410745
C5H15N3,117.12659749674
Cl2OS,117.90469115796999
CHCl3,117.91438307822999
ClFO2S,117.92915625827001
H2CrO4,117.93581477274
C3H3Br,117.94181269669001
C4H3ClS,117.96439895309
